Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,altLabel,comment,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2004/02/skos/core#notation,id,label,may_be_caused_by,may_cause
rgo:00026,presbyesophagus,,,false,,,rgo:00000,,,RADLEX:RID5258|SNOMEDCT:235634004,,RGO:00026,RGO:00026,presbyesophagus,,
rgo:23021,systemic capillary leak syndrome,,,false,,,rgo:00000,,,HP:0030005|ORDO:188,,RGO:23021,RGO:23021,systemic capillary leak syndrome,,
rgo:23020,Muirhead syndrome,,,false,,,rgo:00000,,,,,RGO:23020,RGO:23020,Muirhead syndrome,,
rgo:23022,hemoconcentration,,,false,,,rgo:00000,,,,,RGO:23022,RGO:23022,hemoconcentration,,
rgo:23023,generalized edema,,,false,,,rgo:00000,,,SNOMEDCT:442433009|ICD10CM:R60.1|SNOMEDCT:16740003|HP:0007430,,RGO:23023,RGO:23023,generalized edema,,
rgo:23025,Horner syndrome,,,false,,,rgo:00000,,,SNOMEDCT:271730003|DOID:11486|HP:0002277,,RGO:23025,RGO:23025,Horner syndrome,,
rgo:23024,lgG paraprotein,,,false,,,rgo:00000,,,,,RGO:23024,RGO:23024,lgG paraprotein,,
rgo:23026,reflex sympathetic dystrophy,,,false,,,rgo:31783,RSD|Sudeck atrophy|complex regional pain syndrome type 1,,ICD10CM:G90.5|DOID:1811,,RGO:23026,RGO:23026,reflex sympathetic dystrophy,,
rgo:12350,elongation of fibula,,,false,,,rgo:00000,,,,,RGO:12350,RGO:12350,elongation of fibula,,
rgo:12353,absence or hypoplasia of tibia,,,false,,,rgo:00000,,,,,RGO:12353,RGO:12353,absence or hypoplasia of tibia,,
rgo:01472,amyloid tumor,,,false,,,rgo:00000,,,SNOMEDCT:37279009|DOID:6755,,RGO:01472,RGO:01472,amyloid tumor,,
rgo:01473,eosinophilic granuloma,,,false,,,rgo:08562,,,RADLEX:RID3849|SNOMEDCT:129000002|SNOMEDCT:128810002|ICD10CM:K13.4|ICD10CM:C96.6|ORDO:99871,,RGO:01473,RGO:01473,eosinophilic granuloma,,
rgo:01471,metastatic melanoma,,,false,,,rgo:00000,,,DOID:4358,,RGO:01471,RGO:01471,metastatic melanoma,,
rgo:01476,blue rubber bleb nevus syndrome,,,false,,,rgo:05164,Bean syndrome,,SNOMEDCT:254784002|ORDO:1059,,RGO:01476,RGO:01476,blue rubber bleb nevus syndrome,,
rgo:08150,unilateral exophthalmos,,,false,,,rgo:24505,unilateral proptosis,,,,RGO:08150,RGO:08150,unilateral exophthalmos,,
rgo:08156,paranasal sinus osteoma,,,false,,,rgo:00000,,,SNOMEDCT:232398002,,RGO:08156,RGO:08156,paranasal sinus osteoma,,
rgo:20951,inferior vena cava obstruction with venous collaterals,,,false,,,rgo:00000,,,,,RGO:20951,RGO:20951,inferior vena cava obstruction with venous collaterals,,
rgo:20952,cyclophosphamide,,,false,,,rgo:33195,Cytoxan,,SNOMEDCT:74470007|SNOMEDCT:387420009,,RGO:20952,RGO:20952,cyclophosphamide,,
rgo:20955,multiple primary carcinomas,,,false,,,rgo:00000,,,,,RGO:20955,RGO:20955,multiple primary carcinomas,,
rgo:20957,cystic pheochromocytoma,,,false,,,rgo:00000,,,,,RGO:20957,RGO:20957,cystic pheochromocytoma,,
rgo:20958,necrotic adrenal neoplasm,,,false,,,rgo:00000,,,,,RGO:20958,RGO:20958,necrotic adrenal neoplasm,,
rgo:20950,incontinence,,,false,,,rgo:00000,,,SNOMEDCT:48340000,,RGO:20950,RGO:20950,incontinence,,
rgo:20954,adrenal metastasis,,,false,,,rgo:00000,,,,,RGO:20954,RGO:20954,adrenal metastasis,,
rgo:20956,cystic adrenal neoplasm,,,false,,,rgo:00000,,,,,RGO:20956,RGO:20956,cystic adrenal neoplasm,,
rgo:15567,localized fibrous tumor of pleura,,,false,,,rgo:00000,,,SNOMEDCT:254646001,,RGO:15567,RGO:15567,localized fibrous tumor of pleura,,
rgo:15562,enhancing mediastinal mass,,,false,,,rgo:00000,,,,,RGO:15562,RGO:15562,enhancing mediastinal mass,,
rgo:29983,familial idiopathic acro-osteolysis,,,false,,,rgo:00000,,,,,RGO:29983,RGO:29983,familial idiopathic acro-osteolysis,,
rgo:29984,dental abnormality,,,false,,,rgo:00000,,,HP:0000164,,RGO:29984,RGO:29984,dental abnormality,,
rgo:29982,relapsing peripheral facial palsy,,,false,,,rgo:00000,,,ORDO:2809,,RGO:29982,RGO:29982,relapsing peripheral facial palsy,,
rgo:29981,facial edema,,,false,,,rgo:00000,,,HP:0000282,,RGO:29981,RGO:29981,facial edema,,
rgo:29989,scapular/clavicular fibrous union,,,false,,,rgo:00000,,,,,RGO:29989,RGO:29989,scapular/clavicular fibrous union,,
rgo:22594,male megalourethra,,,false,,,rgo:00000,,,,,RGO:22594,RGO:22594,male megalourethra,,
rgo:22599,enlarged scrotum,,,false,,,rgo:00000,scrotomegaly,,,,RGO:22599,RGO:22599,enlarged scrotum,,
rgo:22592,small kidney,,,false,,,rgo:00000,,,SNOMEDCT:236448000,,RGO:22592,RGO:22592,small kidney,,
rgo:22598,micropenis,,,false,,,rgo:23090|rgo:23094,small penis,,ICD10CM:Q55.62|SNOMEDCT:34911001|HP:0000054,,RGO:22598,RGO:22598,micropenis,,
rgo:22591,large kidney,,,false,,,rgo:00000,,,SNOMEDCT:300444006|HP:0000105,,RGO:22591,RGO:22591,large kidney,,
rgo:22597,large penis,,,false,,,rgo:00000,,,SNOMEDCT:88673001,,RGO:22597,RGO:22597,large penis,,
rgo:22593,hypoplastic labia majora,,,false,,,rgo:00000,hypoplasia of labia majora,,HP:0000059,,RGO:22593,RGO:22593,hypoplastic labia majora,,
rgo:00983,leukemia,,,false,,,rgo:25505,,,SNOMEDCT:93143009|RADLEX:RID3863|SNOMEDCT:87163000|DOID:1240|HP:0001909,,RGO:00983,RGO:00983,leukemia,,
rgo:00986,perforated jejunal diverticulum,,,false,,,rgo:00000,,,,,RGO:00986,RGO:00986,perforated jejunal diverticulum,,
rgo:00987,pneumomediastinum with abdominal extension of air,,,false,,,rgo:00000,,,,,RGO:00987,RGO:00987,pneumomediastinum with abdominal extension of air,,
rgo:00981,Hirschsprung disease or other megacolon,,,false,,,rgo:00000,,,,,RGO:00981,RGO:00981,Hirschsprung disease or other megacolon,,
rgo:24071,spondylosis,,,false,,,rgo:00000,discogenic sclerosis,,RADLEX:RID5121|SNOMEDCT:8847002|ICD10CM:M47|DOID:2247,,RGO:24071,RGO:24071,spondylosis,,
rgo:24075,notochordal rest,,,false,,,rgo:00000,,,,,RGO:24075,RGO:24075,notochordal rest,,
rgo:24079,renal cancer,,,false,,,rgo:00000,,,SNOMEDCT:363518003|DOID:263,,RGO:24079,RGO:24079,renal cancer,,
rgo:24076,metastasis to sacrum,,,false,,,rgo:00000,,,,,RGO:24076,RGO:24076,metastasis to sacrum,,
rgo:24074,osteolytic osteosarcoma,,,false,,,rgo:00000,,,,,RGO:24074,RGO:24074,osteolytic osteosarcoma,,
rgo:12226,Miller postaxial acrofacial dysostosis syndrome,,,false,,,rgo:00000,Miller syndrome,,,,RGO:12226,RGO:12226,Miller postaxial acrofacial dysostosis syndrome,,
rgo:12228,Weyers oligodactyly syndrome,,,false,,,rgo:00000,,,,,RGO:12228,RGO:12228,Weyers oligodactyly syndrome,,
rgo:12221,ulnar ray syndrome,,,false,,,rgo:00000,hypoplasia or aplasia of the ulna and/or fourth and fifth fingers,,,,RGO:12221,RGO:12221,ulnar ray syndrome,,
rgo:12227,ulnar-mammary syndrome,,,false,,,rgo:00000,,,SNOMEDCT:700211007|DOID:0060614|ORDO:3138,,RGO:12227,RGO:12227,ulnar-mammary syndrome,,
rgo:35058,autism - facial port-wine stain,,,false,,,rgo:00000,,,ORDO:137911,,RGO:35058,RGO:35058,autism - facial port-wine stain,,
rgo:35055,leukoencephalopathy with brain stem and spinal cord involvement - lactate elevation,,,false,,,rgo:00000,LBSL,,ORDO:137898,,RGO:35055,RGO:35055,leukoencephalopathy with brain stem and spinal cord involvement - lactate elevation,,
rgo:35056,lactate elevation,,,false,,,rgo:00000,,,,,RGO:35056,RGO:35056,lactate elevation,,
rgo:35050,capillary malformation,,,false,,,rgo:00000,,,RADLEX:RID3346|SNOMEDCT:234118009|HP:0025104,,RGO:35050,RGO:35050,capillary malformation,,
rgo:35059,facial port-wine stain,,,false,,,rgo:00000,,,,,RGO:35059,RGO:35059,facial port-wine stain,,
rgo:35052,X-linked intellectual deficit - cerebellar hypoplasia,,,false,,,rgo:00000,oligophrenin-1 syndrome|OPHN1 syndrome,,ORDO:137831,,RGO:35052,RGO:35052,X-linked intellectual deficit - cerebellar hypoplasia,,
rgo:32847,lymphangitic lung metastasis,,,false,,,rgo:00000,,,,,RGO:32847,RGO:32847,lymphangitic lung metastasis,,
rgo:32842,carmustine,,,false,,,rgo:00000,BCNU|bis-chloroethylnitrosourea,,SNOMEDCT:51326002|SNOMEDCT:387281007,,RGO:32842,RGO:32842,carmustine,,
rgo:32848,pulmonary vein stenosis,,,false,,,rgo:00000,,,SNOMEDCT:234062003,,RGO:32848,RGO:32848,pulmonary vein stenosis,,
rgo:32849,large bulla,,,false,,,rgo:00000,,,,,RGO:32849,RGO:32849,large bulla,,
rgo:32840,nonspecific interstitial pulmonary fibrosis,,,false,,,rgo:00000,NIPF,,,,RGO:32840,RGO:32840,nonspecific interstitial pulmonary fibrosis,,
rgo:26591,obstructed lacrimal ducts,,,false,,,rgo:00000,,,,,RGO:26591,RGO:26591,obstructed lacrimal ducts,,
rgo:26598,progressive myopia,,,false,,,rgo:00000,,,,,RGO:26598,RGO:26598,progressive myopia,,
rgo:26590,neurodermitic signs,,,false,,,rgo:00000,,,,,RGO:26590,RGO:26590,neurodermitic signs,,
rgo:26594,alacrima,,,false,,,rgo:00000,,,SNOMEDCT:253215004|HP:0000522,,RGO:26594,RGO:26594,alacrima,,
rgo:26596,sensorineural hearing loss,,,false,,,rgo:00000,,,SNOMEDCT:60700002|DOID:10003|HP:0000407,,RGO:26596,RGO:26596,sensorineural hearing loss,,
rgo:26592,nipple hypoplasia,,,false,,,rgo:00000,,,HP:0002557,,RGO:26592,RGO:26592,nipple hypoplasia,,
rgo:26595,Axenfeld anomaly,,,false,,,rgo:26462,,,SNOMEDCT:204152008|HP:0001492|ORDO:98978,,RGO:26595,RGO:26595,Axenfeld anomaly,,
rgo:07977,Pallister-Killian syndrome,,,false,,,rgo:00000,,,SNOMEDCT:9527009,,RGO:07977,RGO:07977,Pallister-Killian syndrome,,
rgo:07971,fetal akinesia deformation sequence,,,false,,,rgo:19367,Pena-Shokeir syndrome type 1,,ORDO:994,,RGO:07971,RGO:07971,fetal akinesia deformation sequence,,
rgo:27684,familial agenesis of the corpus callosum and macrocephaly,,,false,,,rgo:00000,,,,,RGO:27684,RGO:27684,familial agenesis of the corpus callosum and macrocephaly,,
rgo:27682,Donnai-Barrow syndrome,,,false,,,rgo:00000,,,DOID:0090144|SNOMEDCT:702418009|ORDO:2143,,RGO:27682,RGO:27682,Donnai-Barrow syndrome,,
rgo:27681,cutis tricolor syndrome,,,false,,,rgo:00000,,,,,RGO:27681,RGO:27681,cutis tricolor syndrome,,
rgo:27680,cryptorchidism and corpus callosum agenesis,,,false,,,rgo:00000,,,,,RGO:27680,RGO:27680,cryptorchidism and corpus callosum agenesis,,
rgo:08708,DOOR syndrome,,,false,,,rgo:00000,,,,,RGO:08708,RGO:08708,DOOR syndrome,,
rgo:08707,Crouzon syndrome,,,false,,,rgo:00000,craniofacial dysostosis,,SNOMEDCT:28861008|DOID:2339|HP:0004439|ORDO:207,,RGO:08707,RGO:08707,Crouzon syndrome,,
rgo:08706,cranioectodermal dysplasia,,,false,,,rgo:00000,,,DOID:0050577|SNOMEDCT:254093009|ORDO:1515,,RGO:08706,RGO:08706,cranioectodermal dysplasia,,
rgo:04514,hydatid debris,,,false,,,rgo:04420,,,,,RGO:04514,RGO:04514,hydatid debris,,
rgo:04518,papillary stenosis,,,false,,,rgo:00000,,,,,RGO:04518,RGO:04518,papillary stenosis,,
rgo:04511,postoperative plication defect at the site of duct-to-duct anastomosis,,,false,,,rgo:00000,,,,,RGO:04511,RGO:04511,postoperative plication defect at the site of duct-to-duct anastomosis,,
rgo:04517,papillary edema from recent passage of stone,,,false,,,rgo:00000,,,,,RGO:04517,RGO:04517,papillary edema from recent passage of stone,,
rgo:04516,impacted stone in Vaterian segment,,,false,,,rgo:00000,,,,,RGO:04516,RGO:04516,impacted stone in Vaterian segment,,
