layer_idx,base_alpha,ft_alpha,delta_alpha,abs_delta,layer_name
56,4.552384012401001,4.313513151933259,-0.23887086046774186,0.23887086046774186,down_proj
42,4.58743670822744,4.348681234745545,-0.23875547348189485,0.23875547348189485,down_proj
96,3.855739454279032,3.6247487813159327,-0.23099067296309927,0.23099067296309927,gate_proj
212,4.438974830622179,4.665432387122413,0.22645755650023425,0.22645755650023425,k_proj
198,5.026005645899532,4.804851527256579,-0.22115411864295265,0.22115411864295265,k_proj
87,7.283765237861519,7.5042555862473845,0.2204903483858658,0.2204903483858658,v_proj
77,4.157288097575018,3.9384987070943227,-0.218789390480695,0.218789390480695,down_proj
7,4.046675439690162,3.8290403599668053,-0.21763507972335683,0.21763507972335683,down_proj
11,3.6095519911869522,3.402747013833319,-0.20680497735363312,0.20680497735363312,o_proj
49,4.3345956215783055,4.136085327878218,-0.1985102937000871,0.1985102937000871,down_proj
211,3.8926850073966603,3.6943897148709963,-0.19829529252566402,0.19829529252566402,q_proj
81,4.251508771432794,4.055174185547349,-0.19633458588544528,0.19633458588544528,o_proj
184,4.8639308710297,4.670329445048223,-0.1936014259814769,0.1936014259814769,k_proj
221,4.376717691114772,4.183323159997949,-0.19339453111682303,0.19339453111682303,o_proj
224,5.7421987954972105,5.548867031211524,-0.19333176428568688,0.19333176428568688,down_proj
222,3.4826050244166535,3.289638620471318,-0.1929664039453356,0.1929664039453356,gate_proj
175,4.3898413641669185,4.577842545049691,0.18800118088277262,0.18800118088277262,down_proj
84,4.07944181433701,3.8931016076596308,-0.1863402066773796,0.1863402066773796,down_proj
47,3.7755520860477745,3.590981329641933,-0.18457075640584142,0.18457075640584142,gate_proj
68,3.6009288933790726,3.416597011477165,-0.18433188190190775,0.18433188190190775,gate_proj
33,3.2210479272442973,3.045109869057372,-0.17593805818692543,0.17593805818692543,gate_proj
26,3.53315005992863,3.3582403510398637,-0.17490970888876634,0.17490970888876634,gate_proj
137,3.615204578521546,3.443523548400791,-0.1716810301207552,0.1716810301207552,o_proj
141,5.042069486635849,4.8715119853923285,-0.1705575012435201,0.1705575012435201,q_proj
75,3.647161354473599,3.477820603599428,-0.1693407508741709,0.1693407508741709,gate_proj
61,3.7806609607049513,3.613411851716934,-0.16724910898801726,0.16724910898801726,gate_proj
